inventory_id,sku,product_name,category,warehouse_id,warehouse_name,region,quantity_available,reserved_quantity,unit_cost,reorder_level,version,updated_at
INV-000001,SKU-0001,Grocery Item 0001,Grocery,WH001,North Warehouse 001,North,293,32,1994.57,55,1,2026-05-24T00:00:00+07:00
INV-000002,SKU-0002,Fashion Item 0002,Fashion,WH001,North Warehouse 001,North,781,19,1412.61,68,1,2026-05-24T00:00:00+07:00
INV-000003,SKU-0003,Industrial Item 0003,Industrial,WH001,North Warehouse 001,North,247,49,298.69,51,1,2026-05-24T00:00:00+07:00
INV-000004,SKU-0004,Electronics Item 0004,Electronics,WH001,North Warehouse 001,North,160,27,768.91,114,1,2026-05-24T00:00:00+07:00
INV-000005,SKU-0005,Home Item 0005,Home,WH001,North Warehouse 001,North,378,19,341.35,40,1,2026-05-24T00:00:00+07:00
INV-000006,SKU-0006,Grocery Item 0006,Grocery,WH001,North Warehouse 001,North,772,17,85.21,50,1,2026-05-24T00:00:00+07:00
INV-000007,SKU-0007,Fashion Item 0007,Fashion,WH001,North Warehouse 001,North,340,74,510.24,63,1,2026-05-24T00:00:00+07:00
INV-000008,SKU-0008,Industrial Item 0008,Industrial,WH001,North Warehouse 001,North,485,36,583.60,91,1,2026-05-24T00:00:00+07:00
INV-000009,SKU-0009,Electronics Item 0009,Electronics,WH001,North Warehouse 001,North,633,53,2271.82,120,1,2026-05-24T00:00:00+07:00
INV-000010,SKU-0010,Home Item 0010,Home,WH001,North Warehouse 001,North,542,45,919.20,78,1,2026-05-24T00:00:00+07:00
INV-000011,SKU-0011,Grocery Item 0011,Grocery,WH001,North Warehouse 001,North,410,22,287.11,50,1,2026-05-24T00:00:00+07:00
INV-000012,SKU-0012,Fashion Item 0012,Fashion,WH001,North Warehouse 001,North,370,49,1248.58,45,1,2026-05-24T00:00:00+07:00
INV-000013,SKU-0013,Industrial Item 0013,Industrial,WH001,North Warehouse 001,North,422,7,1224.15,119,1,2026-05-24T00:00:00+07:00
INV-000014,SKU-0014,Electronics Item 0014,Electronics,WH001,North Warehouse 001,North,313,21,1968.13,45,1,2026-05-24T00:00:00+07:00
INV-000015,SKU-0015,Home Item 0015,Home,WH001,North Warehouse 001,North,274,22,110.61,88,1,2026-05-24T00:00:00+07:00
INV-000016,SKU-0016,Grocery Item 0016,Grocery,WH001,North Warehouse 001,North,726,47,1104.72,57,1,2026-05-24T00:00:00+07:00
INV-000017,SKU-0017,Fashion Item 0017,Fashion,WH001,North Warehouse 001,North,457,65,950.35,75,1,2026-05-24T00:00:00+07:00
INV-000018,SKU-0018,Industrial Item 0018,Industrial,WH001,North Warehouse 001,North,791,69,541.12,80,1,2026-05-24T00:00:00+07:00
INV-000019,SKU-0019,Electronics Item 0019,Electronics,WH001,North Warehouse 001,North,82,12,1751.65,82,1,2026-05-24T00:00:00+07:00
INV-000020,SKU-0020,Home Item 0020,Home,WH001,North Warehouse 001,North,369,30,2123.94,27,1,2026-05-24T00:00:00+07:00
INV-000021,SKU-0021,Grocery Item 0021,Grocery,WH001,North Warehouse 001,North,231,1,255.26,68,1,2026-05-24T00:00:00+07:00
INV-000022,SKU-0022,Fashion Item 0022,Fashion,WH001,North Warehouse 001,North,548,27,2186.90,53,1,2026-05-24T00:00:00+07:00
INV-000023,SKU-0023,Industrial Item 0023,Industrial,WH001,North Warehouse 001,North,149,33,1069.24,88,1,2026-05-24T00:00:00+07:00
INV-000024,SKU-0024,Electronics Item 0024,Electronics,WH001,North Warehouse 001,North,719,6,229.77,107,1,2026-05-24T00:00:00+07:00
INV-000025,SKU-0025,Home Item 0025,Home,WH001,North Warehouse 001,North,94,21,919.92,56,1,2026-05-24T00:00:00+07:00
INV-000026,SKU-0026,Grocery Item 0026,Grocery,WH001,North Warehouse 001,North,214,53,800.37,27,1,2026-05-24T00:00:00+07:00
INV-000027,SKU-0027,Fashion Item 0027,Fashion,WH001,North Warehouse 001,North,669,12,327.67,33,1,2026-05-24T00:00:00+07:00
INV-000028,SKU-0028,Industrial Item 0028,Industrial,WH001,North Warehouse 001,North,372,77,1451.29,70,1,2026-05-24T00:00:00+07:00
INV-000029,SKU-0029,Electronics Item 0029,Electronics,WH001,North Warehouse 001,North,126,2,1088.76,113,1,2026-05-24T00:00:00+07:00
INV-000030,SKU-0030,Home Item 0030,Home,WH001,North Warehouse 001,North,568,65,1437.45,30,1,2026-05-24T00:00:00+07:00
INV-000031,SKU-0031,Grocery Item 0031,Grocery,WH001,North Warehouse 001,North,406,67,1675.75,52,1,2026-05-24T00:00:00+07:00
INV-000032,SKU-0032,Fashion Item 0032,Fashion,WH001,North Warehouse 001,North,262,4,1180.19,112,1,2026-05-24T00:00:00+07:00
INV-000033,SKU-0033,Industrial Item 0033,Industrial,WH001,North Warehouse 001,North,420,59,1202.89,50,1,2026-05-24T00:00:00+07:00
INV-000034,SKU-0034,Electronics Item 0034,Electronics,WH001,North Warehouse 001,North,116,22,951.61,72,1,2026-05-24T00:00:00+07:00
INV-000035,SKU-0035,Home Item 0035,Home,WH001,North Warehouse 001,North,691,77,1817.22,52,1,2026-05-24T00:00:00+07:00
INV-000036,SKU-0036,Grocery Item 0036,Grocery,WH001,North Warehouse 001,North,444,53,2065.38,85,1,2026-05-24T00:00:00+07:00
INV-000037,SKU-0037,Fashion Item 0037,Fashion,WH001,North Warehouse 001,North,389,75,625.87,29,1,2026-05-24T00:00:00+07:00
INV-000038,SKU-0038,Industrial Item 0038,Industrial,WH001,North Warehouse 001,North,560,52,938.31,46,1,2026-05-24T00:00:00+07:00
INV-000039,SKU-0039,Electronics Item 0039,Electronics,WH001,North Warehouse 001,North,174,20,1786.73,75,1,2026-05-24T00:00:00+07:00
INV-000040,SKU-0040,Home Item 0040,Home,WH001,North Warehouse 001,North,448,58,2058.33,111,1,2026-05-24T00:00:00+07:00
INV-000041,SKU-0041,Grocery Item 0041,Grocery,WH001,North Warehouse 001,North,116,16,1921.99,112,1,2026-05-24T00:00:00+07:00
INV-000042,SKU-0042,Fashion Item 0042,Fashion,WH001,North Warehouse 001,North,667,6,13.66,115,1,2026-05-24T00:00:00+07:00
INV-000043,SKU-0043,Industrial Item 0043,Industrial,WH001,North Warehouse 001,North,537,32,1795.15,102,1,2026-05-24T00:00:00+07:00
INV-000044,SKU-0044,Electronics Item 0044,Electronics,WH001,North Warehouse 001,North,123,5,2025.04,54,1,2026-05-24T00:00:00+07:00
INV-000045,SKU-0045,Home Item 0045,Home,WH001,North Warehouse 001,North,404,47,2153.04,71,1,2026-05-24T00:00:00+07:00
INV-000046,SKU-0046,Grocery Item 0046,Grocery,WH001,North Warehouse 001,North,386,21,186.52,118,1,2026-05-24T00:00:00+07:00
INV-000047,SKU-0047,Fashion Item 0047,Fashion,WH001,North Warehouse 001,North,635,5,962.99,84,1,2026-05-24T00:00:00+07:00
INV-000048,SKU-0048,Industrial Item 0048,Industrial,WH001,North Warehouse 001,North,82,15,2388.95,38,1,2026-05-24T00:00:00+07:00
INV-000049,SKU-0049,Electronics Item 0049,Electronics,WH001,North Warehouse 001,North,640,63,1526.92,86,1,2026-05-24T00:00:00+07:00
INV-000050,SKU-0050,Home Item 0050,Home,WH001,North Warehouse 001,North,591,47,824.21,81,1,2026-05-24T00:00:00+07:00
INV-000051,SKU-0051,Grocery Item 0051,Grocery,WH001,North Warehouse 001,North,646,1,1266.27,41,1,2026-05-24T00:00:00+07:00
INV-000052,SKU-0052,Fashion Item 0052,Fashion,WH001,North Warehouse 001,North,330,2,1992.84,31,1,2026-05-24T00:00:00+07:00
