inventory_id,sku,product_name,category,warehouse_id,warehouse_name,region,quantity_available,reserved_quantity,unit_cost,reorder_level,version,updated_at
INV-001251,SKU-0001,Grocery Item 0001,Grocery,WH006,Central Warehouse 006,Central,106,11,580.56,63,1,2026-05-24T00:00:00+07:00
INV-001252,SKU-0002,Fashion Item 0002,Fashion,WH006,Central Warehouse 006,Central,111,16,2341.99,72,1,2026-05-24T00:00:00+07:00
INV-001253,SKU-0003,Industrial Item 0003,Industrial,WH006,Central Warehouse 006,Central,195,39,1315.33,54,1,2026-05-24T00:00:00+07:00
INV-001254,SKU-0004,Electronics Item 0004,Electronics,WH006,Central Warehouse 006,Central,627,37,2124.59,45,1,2026-05-24T00:00:00+07:00
INV-001255,SKU-0005,Home Item 0005,Home,WH006,Central Warehouse 006,Central,609,38,1937.65,81,1,2026-05-24T00:00:00+07:00
INV-001256,SKU-0006,Grocery Item 0006,Grocery,WH006,Central Warehouse 006,Central,205,41,1605.29,44,1,2026-05-24T00:00:00+07:00
INV-001257,SKU-0007,Fashion Item 0007,Fashion,WH006,Central Warehouse 006,Central,793,39,461.07,58,1,2026-05-24T00:00:00+07:00
INV-001258,SKU-0008,Industrial Item 0008,Industrial,WH006,Central Warehouse 006,Central,487,54,2148.19,51,1,2026-05-24T00:00:00+07:00
INV-001259,SKU-0009,Electronics Item 0009,Electronics,WH006,Central Warehouse 006,Central,516,29,103.42,83,1,2026-05-24T00:00:00+07:00
INV-001260,SKU-0010,Home Item 0010,Home,WH006,Central Warehouse 006,Central,668,29,2177.32,101,1,2026-05-24T00:00:00+07:00
INV-001261,SKU-0011,Grocery Item 0011,Grocery,WH006,Central Warehouse 006,Central,194,31,395.79,66,1,2026-05-24T00:00:00+07:00
INV-001262,SKU-0012,Fashion Item 0012,Fashion,WH006,Central Warehouse 006,Central,558,2,766.39,44,1,2026-05-24T00:00:00+07:00
INV-001263,SKU-0013,Industrial Item 0013,Industrial,WH006,Central Warehouse 006,Central,468,36,1924.04,83,1,2026-05-24T00:00:00+07:00
INV-001264,SKU-0014,Electronics Item 0014,Electronics,WH006,Central Warehouse 006,Central,329,77,132.69,34,1,2026-05-24T00:00:00+07:00
