inventory_id,sku,product_name,category,warehouse_id,warehouse_name,region,quantity_available,reserved_quantity,unit_cost,reorder_level,version,updated_at
INV-002501,SKU-0001,Grocery Item 0001,Grocery,WH011,SouthEast Warehouse 011,SouthEast,443,0,1108.45,92,1,2026-05-24T00:00:00+07:00
INV-002502,SKU-0002,Fashion Item 0002,Fashion,WH011,SouthEast Warehouse 011,SouthEast,234,52,523.17,29,1,2026-05-24T00:00:00+07:00
INV-002503,SKU-0003,Industrial Item 0003,Industrial,WH011,SouthEast Warehouse 011,SouthEast,640,53,2003.79,44,1,2026-05-24T00:00:00+07:00
INV-002504,SKU-0004,Electronics Item 0004,Electronics,WH011,SouthEast Warehouse 011,SouthEast,621,49,636.70,115,1,2026-05-24T00:00:00+07:00
INV-002505,SKU-0005,Home Item 0005,Home,WH011,SouthEast Warehouse 011,SouthEast,210,36,382.60,90,1,2026-05-24T00:00:00+07:00
INV-002506,SKU-0006,Grocery Item 0006,Grocery,WH011,SouthEast Warehouse 011,SouthEast,453,32,2035.13,116,1,2026-05-24T00:00:00+07:00
INV-002507,SKU-0007,Fashion Item 0007,Fashion,WH011,SouthEast Warehouse 011,SouthEast,353,44,1833.25,38,1,2026-05-24T00:00:00+07:00
INV-002508,SKU-0008,Industrial Item 0008,Industrial,WH011,SouthEast Warehouse 011,SouthEast,227,21,2183.88,105,1,2026-05-24T00:00:00+07:00
INV-002509,SKU-0009,Electronics Item 0009,Electronics,WH011,SouthEast Warehouse 011,SouthEast,201,6,2323.29,97,1,2026-05-24T00:00:00+07:00
INV-002510,SKU-0010,Home Item 0010,Home,WH011,SouthEast Warehouse 011,SouthEast,721,72,1634.96,97,1,2026-05-24T00:00:00+07:00
INV-002511,SKU-0011,Grocery Item 0011,Grocery,WH011,SouthEast Warehouse 011,SouthEast,332,11,315.19,68,1,2026-05-24T00:00:00+07:00
INV-002512,SKU-0012,Fashion Item 0012,Fashion,WH011,SouthEast Warehouse 011,SouthEast,731,6,1894.59,54,1,2026-05-24T00:00:00+07:00
INV-002513,SKU-0013,Industrial Item 0013,Industrial,WH011,SouthEast Warehouse 011,SouthEast,745,5,1369.94,70,1,2026-05-24T00:00:00+07:00
INV-002514,SKU-0014,Electronics Item 0014,Electronics,WH011,SouthEast Warehouse 011,SouthEast,92,16,1909.77,51,1,2026-05-24T00:00:00+07:00
INV-002515,SKU-0015,Home Item 0015,Home,WH011,SouthEast Warehouse 011,SouthEast,474,54,1879.58,52,1,2026-05-24T00:00:00+07:00
INV-002516,SKU-0016,Grocery Item 0016,Grocery,WH011,SouthEast Warehouse 011,SouthEast,430,75,2424.84,63,1,2026-05-24T00:00:00+07:00
INV-002517,SKU-0017,Fashion Item 0017,Fashion,WH011,SouthEast Warehouse 011,SouthEast,104,14,341.93,113,1,2026-05-24T00:00:00+07:00
INV-002518,SKU-0018,Industrial Item 0018,Industrial,WH011,SouthEast Warehouse 011,SouthEast,629,13,1981.42,98,1,2026-05-24T00:00:00+07:00
INV-002519,SKU-0019,Electronics Item 0019,Electronics,WH011,SouthEast Warehouse 011,SouthEast,417,62,2265.11,79,1,2026-05-24T00:00:00+07:00
INV-002520,SKU-0020,Home Item 0020,Home,WH011,SouthEast Warehouse 011,SouthEast,156,26,2140.84,68,1,2026-05-24T00:00:00+07:00
INV-002521,SKU-0021,Grocery Item 0021,Grocery,WH011,SouthEast Warehouse 011,SouthEast,318,26,2384.19,37,1,2026-05-24T00:00:00+07:00
INV-002522,SKU-0022,Fashion Item 0022,Fashion,WH011,SouthEast Warehouse 011,SouthEast,393,8,250.58,38,1,2026-05-24T00:00:00+07:00
