inventory_id,sku,product_name,category,warehouse_id,warehouse_name,region,quantity_available,reserved_quantity,unit_cost,reorder_level,version,updated_at
INV-003751,SKU-0001,Grocery Item 0001,Grocery,WH016,Mekong Warehouse 016,Mekong,707,7,539.07,51,1,2026-05-24T00:00:00+07:00
INV-003752,SKU-0002,Fashion Item 0002,Fashion,WH016,Mekong Warehouse 016,Mekong,257,32,1974.36,70,1,2026-05-24T00:00:00+07:00
INV-003753,SKU-0003,Industrial Item 0003,Industrial,WH016,Mekong Warehouse 016,Mekong,726,50,577.31,35,1,2026-05-24T00:00:00+07:00
INV-003754,SKU-0004,Electronics Item 0004,Electronics,WH016,Mekong Warehouse 016,Mekong,772,27,2499.09,57,1,2026-05-24T00:00:00+07:00
INV-003755,SKU-0005,Home Item 0005,Home,WH016,Mekong Warehouse 016,Mekong,753,62,569.09,94,1,2026-05-24T00:00:00+07:00
INV-003756,SKU-0006,Grocery Item 0006,Grocery,WH016,Mekong Warehouse 016,Mekong,97,24,2358.14,82,1,2026-05-24T00:00:00+07:00
INV-003757,SKU-0007,Fashion Item 0007,Fashion,WH016,Mekong Warehouse 016,Mekong,302,70,553.36,113,1,2026-05-24T00:00:00+07:00
INV-003758,SKU-0008,Industrial Item 0008,Industrial,WH016,Mekong Warehouse 016,Mekong,196,21,835.79,60,1,2026-05-24T00:00:00+07:00
INV-003759,SKU-0009,Electronics Item 0009,Electronics,WH016,Mekong Warehouse 016,Mekong,476,63,1776.56,57,1,2026-05-24T00:00:00+07:00
INV-003760,SKU-0010,Home Item 0010,Home,WH016,Mekong Warehouse 016,Mekong,149,32,1557.12,27,1,2026-05-24T00:00:00+07:00
INV-003761,SKU-0011,Grocery Item 0011,Grocery,WH016,Mekong Warehouse 016,Mekong,451,62,934.81,34,1,2026-05-24T00:00:00+07:00
INV-003762,SKU-0012,Fashion Item 0012,Fashion,WH016,Mekong Warehouse 016,Mekong,550,1,1868.57,81,1,2026-05-24T00:00:00+07:00
INV-003763,SKU-0013,Industrial Item 0013,Industrial,WH016,Mekong Warehouse 016,Mekong,215,15,2273.47,37,1,2026-05-24T00:00:00+07:00
INV-003764,SKU-0014,Electronics Item 0014,Electronics,WH016,Mekong Warehouse 016,Mekong,227,33,1168.43,111,1,2026-05-24T00:00:00+07:00
INV-003765,SKU-0015,Home Item 0015,Home,WH016,Mekong Warehouse 016,Mekong,444,46,1148.27,101,1,2026-05-24T00:00:00+07:00
INV-003766,SKU-0016,Grocery Item 0016,Grocery,WH016,Mekong Warehouse 016,Mekong,265,54,2206.45,97,1,2026-05-24T00:00:00+07:00
INV-003767,SKU-0017,Fashion Item 0017,Fashion,WH016,Mekong Warehouse 016,Mekong,179,31,1231.67,105,1,2026-05-24T00:00:00+07:00
INV-003768,SKU-0018,Industrial Item 0018,Industrial,WH016,Mekong Warehouse 016,Mekong,461,47,604.64,40,1,2026-05-24T00:00:00+07:00
INV-003769,SKU-0019,Electronics Item 0019,Electronics,WH016,Mekong Warehouse 016,Mekong,500,69,1894.54,42,1,2026-05-24T00:00:00+07:00
INV-003770,SKU-0020,Home Item 0020,Home,WH016,Mekong Warehouse 016,Mekong,271,25,438.50,30,1,2026-05-24T00:00:00+07:00
INV-003771,SKU-0021,Grocery Item 0021,Grocery,WH016,Mekong Warehouse 016,Mekong,103,1,2371.27,74,1,2026-05-24T00:00:00+07:00
INV-003772,SKU-0022,Fashion Item 0022,Fashion,WH016,Mekong Warehouse 016,Mekong,769,35,1932.83,93,1,2026-05-24T00:00:00+07:00
INV-003773,SKU-0023,Industrial Item 0023,Industrial,WH016,Mekong Warehouse 016,Mekong,234,16,2402.37,114,1,2026-05-24T00:00:00+07:00
INV-003774,SKU-0024,Electronics Item 0024,Electronics,WH016,Mekong Warehouse 016,Mekong,538,16,2451.05,98,1,2026-05-24T00:00:00+07:00
INV-003775,SKU-0025,Home Item 0025,Home,WH016,Mekong Warehouse 016,Mekong,642,52,2163.35,32,1,2026-05-24T00:00:00+07:00
INV-003776,SKU-0026,Grocery Item 0026,Grocery,WH016,Mekong Warehouse 016,Mekong,796,18,1465.76,119,1,2026-05-24T00:00:00+07:00
INV-003777,SKU-0027,Fashion Item 0027,Fashion,WH016,Mekong Warehouse 016,Mekong,273,24,1078.36,81,1,2026-05-24T00:00:00+07:00
INV-003778,SKU-0028,Industrial Item 0028,Industrial,WH016,Mekong Warehouse 016,Mekong,141,20,718.97,48,1,2026-05-24T00:00:00+07:00
INV-003779,SKU-0029,Electronics Item 0029,Electronics,WH016,Mekong Warehouse 016,Mekong,87,4,437.43,107,1,2026-05-24T00:00:00+07:00
INV-003780,SKU-0030,Home Item 0030,Home,WH016,Mekong Warehouse 016,Mekong,736,25,1046.67,119,1,2026-05-24T00:00:00+07:00
INV-003781,SKU-0031,Grocery Item 0031,Grocery,WH016,Mekong Warehouse 016,Mekong,389,3,2144.40,52,1,2026-05-24T00:00:00+07:00
INV-003782,SKU-0032,Fashion Item 0032,Fashion,WH016,Mekong Warehouse 016,Mekong,669,23,2343.06,67,1,2026-05-24T00:00:00+07:00
INV-003783,SKU-0033,Industrial Item 0033,Industrial,WH016,Mekong Warehouse 016,Mekong,553,72,105.60,74,1,2026-05-24T00:00:00+07:00
INV-003784,SKU-0034,Electronics Item 0034,Electronics,WH016,Mekong Warehouse 016,Mekong,415,19,2238.64,47,1,2026-05-24T00:00:00+07:00
